Name,Dihedral Linking Number
11n_78,"[[-2/3, -2/3], [0, 0], [-1, -1], [-2, -2]]"
11n_79,"[[-5/7, -5/7]]"
11n_80,"[[10/3, 10/3]]"
11n_81,"['No Dihedral Linking Number Exists', [-7/2, -4], [-3, -3], [-7/2, -3]]"
11n_85,"[[0, 0]]"
11n_86,"[[1, 1]]"
11n_87,"[[2/5, 2/5]]"
11n_92,['No Dihedral Linking Number Exists']
11n_94,"[[1, 1]]"
11n_95,['No Dihedral Linking Number Exists']
11n_97,"[[-2, -2]]"
11n_98,"[[11/7, 11/7]]"
11n_99,"[[0, 0]]"
11n_100,"[[-1/5, -1/5]]"
11n_101,"[[1, 1]]"
11n_102,"[[4, 4]]"
11n_104,"[[0, 0]]"
11n_105,['No Dihedral Linking Number Exists']
11n_106,"[[0, 0]]"
11n_107,"[[0, 0]]"
11n_109,"[[3, 3]]"
11n_118,"[[-1, -1]]"
11n_119,"[[0, 0]]"
11n_121,"[[5/2, 5/2]]"
11n_122,"[[-6/7, -6/7]]"
11n_123,['No Dihedral Linking Number Exists']
11n_125,"[[-1, -1]]"
11n_126,"['No Dihedral Linking Number Exists', [-1, -1], [-3, -3], [-1, -1]]"
11n_136,"[[-3, -3]]"
11n_137,"[[1, 1]]"
11n_138,"[[0, 0]]"
11n_139,"[[0, 0]]"
11n_140,"[[0, 0]]"
11n_141,"[[1, 1]]"
11n_142,"[[0, 0]]"
11n_143,"[[-2, -2]]"
11n_145,"[[-1, -1]]"
11n_146,"[[-1, -1]]"
11n_148,"[[4, 4]]"
11n_149,"[[-2, -2]]"
11n_150,"[[3, 3]]"
11n_153,"[[-1, -1]]"
11n_155,"[[-2, -2]]"
11n_158,"[[1, 1]]"
11n_161,"[[-1, -1]]"
11n_164,"[[0, 0], [-3/5, -3/5], 'No Dihedral Linking Number Exists', [-6/11, -6/11]]"
11n_167,"['No Dihedral Linking Number Exists', [-2, -2], 'No Dihedral Linking Number Exists', [4, 4]]"
11n_168,"[[0, 0]]"
11n_170,"[[2, 2]]"
11n_173,"[[-2, -2]]"
11n_176,"[[2, 2]]"
11n_181,"[[-1, -1]]"
11n_182,['No Dihedral Linking Number Exists']
11n_183,"[[-2, -2]]"
11n_184,"[[-2, -2]]"
11n_185,"[[-2, -2]]"
12a_0001,"[[-5/7, -5/7]]"
12a_0002,"[[-2, -2]]"
12a_0010,"[[2, 2]]"
12a_0011,['No Dihedral Linking Number Exists']
12a_0016,['No Dihedral Linking Number Exists']
12a_0023,"[[-1, -1]]"
12a_0029,"[[-4/3, -4/3]]"
12a_0030,"[[0, 0]]"
12a_0033,"[[0, 0]]"
12a_0035,"[[2, 2]]"
12a_0036,"[[0, 0]]"
12a_0048,"[[0, 0]]"
12a_0049,"[[-2, -2]]"
12a_0051,"[[1, 1]]"
12a_0057,"[[0, 0]]"
12a_0060,"[[-1, -1]]"
12a_0062,['No Dihedral Linking Number Exists']
12a_0066,"[[-1/3, -1/3]]"
12a_0067,"[[-2, 0]]"
12a_0071,"[[2, 2]]"
12a_0074,"[[-3, -3]]"
12a_0077,"[[-2, -2]]"
12a_0079,"[[1, 1]]"
12a_0081,"[[1, 1]]"
12a_0086,"[[-1, -1]]"
12a_0088,"[[0, 0]]"
12a_0095,"[[1, 1]]"
12a_0097,"[[2, 2]]"
12a_0100,"[[2, 2]]"
12a_0103,"[[0, -1]]"
12a_0113,"[[-4/3, -4/3]]"
12a_0114,"[[-12/13, -12/13]]"
12a_0116,"[[0, 0]]"
12a_0117,"[[20/3, 20/3]]"
12a_0119,"[[0, 0], [-1/3, -1/3], [0, 0], 'No Dihedral Linking Number Exists']"
12a_0121,"[[1, 1]]"
12a_0122,"[[-1, -1]]"
12a_0127,"[[3, 4]]"
12a_0130,"[[1, 1]]"
12a_0136,"[[1/3, 1/3]]"
12a_0150,"[[-3, -3]]"
12a_0151,"[[10/3, 10/3]]"
12a_0155,"[[2/3, 2/3]]"
12a_0156,"[[1, 1]]"
12a_0157,"[[-4/5, -4/5]]"
12a_0163,"[[4/5, 4/5]]"
12a_0164,"[[0, 0], [1, 1], [1, 1], [-13/19, -13/19]]"
12a_0165,"[[-1, -1]]"
12a_0166,"[[1, 0], [1, 1], [3/2, 1], [-1/3, -1/3]]"
12a_0167,"[[-1, 0], [-12/5, -12/5], 'No Dihedral Linking Number Exists', [-3, -3]]"
12a_0168,"[[-37/23, -37/23]]"
12a_0172,"[[-4/3, -4/3]]"
12a_0175,"[[-1, -1]]"
12a_0177,"[[-2, -2], 'No Dihedral Linking Number Exists', [-1, -1], [-3, -3]]"
12a_0179,"[[0, 0]]"
12a_0181,"[[0, 0]]"
12a_0182,"[[0, 0]]"
12a_0189,"[[1, 1]]"
12a_0193,"[[-2, -2]]"
12a_0195,"[[-4, -4]]"
12a_0197,"[[-1, -1]]"
12a_0203,"[[-2, -2]]"
12a_0206,"[[5, 5]]"
12a_0207,"[[-1/7, -1/7]]"
12a_0208,"[[0, 0]]"
12a_0209,"[[0, 0]]"
12a_0210,"[[5, 5]]"
12a_0212,"[[4, 4]]"
12a_0215,"[[-1, -1]]"
12a_0223,"[[2, 2]]"
12a_0224,['No Dihedral Linking Number Exists']
12a_0229,"[[-5/9, -5/9]]"
12a_0231,"[[37/47, 37/47]]"
12a_0233,"[[-1, -1]]"
12a_0234,"[[6, 6]]"
12a_0236,"[[2/3, 2/3]]"
12a_0239,['No Dihedral Linking Number Exists']
12a_0244,"[[3/2, 3/2], [-4/5, -4/5], [5/3, 5/3], [0, 0]]"
12a_0245,"[[0, 0], [1, 1], [2/3, 2/3], [-1, -1]]"
12a_0246,"[[0, 0]]"
12a_0251,"[[3/2, 3/2]]"
12a_0256,"[[13/5, 13/5]]"
12a_0260,"[[0, 0]]"
12a_0265,"[[-1, -1], [-2, -2], [1, 1], [7/9, 7/9]]"
12a_0269,"[[1, 1]]"
12a_0270,"[[0, 0], [0, 0], [4, 4], [-1, -1]]"
12a_0280,"[[0, 0]]"
12a_0281,"[[2, 2]]"
12a_0287,['No Dihedral Linking Number Exists']
12a_0288,"[[4/9, 4/9]]"
12a_0290,"[[2, 2]]"
12a_0291,"[[1, 1]]"
12a_0292,"[[0, 0]]"
12a_0295,"[[2, 2], [4/3, 4/3], [4/3, 4/3], [2/7, 2/7]]"
12a_0296,"[[-2, -2]]"
12a_0297,"[[-2, -2], [0, 0], [0, 0], [1, 0]]"
12a_0298,"[[1, 1], 'No Dihedral Linking Number Exists', [1, 1], [0, 0]]"
12a_0302,"[[-2, -2]]"
12a_0303,"[[2, 2]]"
12a_0306,"[[2, 2]]"
12a_0308,['No Dihedral Linking Number Exists']
12a_0311,"[[29/35, 29/35], [2, 2], 'No Dihedral Linking Number Exists', [4, 4]]"
12a_0312,"[[-3/5, -3/5]]"
12a_0313,"[[0, 0]]"
12a_0319,"[[0, 0]]"
12a_0321,['No Dihedral Linking Number Exists']
12a_0325,"[[-10, -10]]"
12a_0329,"[[2, 2]]"
12a_0331,"[[0, 0]]"
12a_0332,"[[-1/3, -1/3], [0, 0], [0, 0], [0, 0]]"
12a_0334,"[[4/5, 4/5]]"
12a_0336,"[[0, 0]]"
12a_0342,"[[2, 2]]"
12a_0345,"[[1, 1]]"
12a_0346,"[[-2/3, -2/3]]"
12a_0347,"[[-2/3, -2/3]]"
12a_0348,['No Dihedral Linking Number Exists']
12a_0358,"[[-4/13, -4/13]]"
12a_0360,"[[0, 0]]"
12a_0362,['No Dihedral Linking Number Exists']
12a_0373,"[[1, 1]]"
12a_0374,"[[3/5, 3/5]]"
12a_0375,"[[0, 0]]"
12a_0376,"[[1, 1]]"
12a_0377,"[[-5, -5]]"
12a_0386,"[[0, 0], [-12/7, -12/7], [-1/2, -1/2], [0, 1]]"
12a_0389,"[[0, 0]]"
12a_0390,"[[0, 0]]"
12a_0392,"[[1, 0]]"
12a_0393,"[[1, 1]]"
12a_0395,"[[-1, -1]]"
12a_0396,"[[1, 1], [-1, -1], [-1, -1], [-2/3, -2/3]]"
12a_0401,['No Dihedral Linking Number Exists']
12a_0404,"[[-1/2, -1/2]]"
12a_0408,"[[2/3, 2/3]]"
12a_0409,"[[2, 2]]"
12a_0411,"[[0, 0]]"
12a_0413,"[[0, 0], [3, 3], [5/3, 5/3], [-1, -1]]"
12a_0414,"[[9/13, 9/13]]"
12a_0415,"[[-1, -1]]"
12a_0416,"[[29/9, 29/9]]"
12a_0419,"[[2, 2]]"
12a_0420,"[[3, 3]]"
12a_0422,"[[-3, -3]]"
12a_0425,"[[-1, -1]]"
12a_0426,"[[-2, -2]]"
12a_0427,"[[2, 2], [1, 1], [-4, -4], [0, 0]]"
12a_0428,"[[1, 1]]"
12a_0429,"[[-2, -2]]"
12a_0433,"[[1, 1], [7/3, 7/3], [1, 1], [-2/3, -2/3]]"
12a_0434,"[[-3, -3]]"
12a_0435,"[[-1, -1], [-15/19, -15/19], [0, 0], [0, 0]]"
12a_0439,"[[-1, -1]]"
12a_0444,"[[1/5, 1/5]]"
12a_0445,"[[5/11, 5/11]]"
12a_0446,"[[0, 2]]"
12a_0448,"[[-1/3, -1/3]]"
12a_0450,"[[-2/3, -2/3]]"
12a_0451,"[[2/3, 2/3]]"
12a_0456,"[[-2, -2]]"
12a_0459,"[[-1, -1]]"
12a_0463,['No Dihedral Linking Number Exists']
12a_0464,"[[-2, -2]]"
12a_0472,"[[-2/3, -2/3]]"
12a_0475,"[[1, 1]]"
12a_0482,"[[0, -1]]"
12a_0485,"[[-2, -2]]"
12a_0486,"[[-10, -10]]"
12a_0490,"[[0, 0]]"
12a_0491,"[[-2/5, -2/5]]"
12a_0493,"[[18/29, 18/29], [2, 2], [-2, -2], [0, 0]]"
12a_0494,"[[0, 0]]"
12a_0496,"[[1, 1]]"
12a_0498,"[[-7, -7]]"
12a_0503,"[[0, 0], 'No Dihedral Linking Number Exists', [2/3, 2/3], [0, 0]]"
12a_0504,"[[0, 0]]"
12a_0505,"[[-1, -1]]"
12a_0508,"[[2, 2]]"
12a_0509,['No Dihedral Linking Number Exists']
12a_0515,"[[2/3, 2/3]]"
12a_0519,['No Dihedral Linking Number Exists']
12a_0523,"[[1, 1]]"
12a_0524,"[[7/13, 7/13]]"
12a_0525,"[[5, 5]]"
12a_0528,"[[1, 0]]"
12a_0529,"[[-1, -1]]"
12a_0540,['No Dihedral Linking Number Exists']
12a_0541,['No Dihedral Linking Number Exists']
12a_0542,"[[-1, -1]]"
12a_0546,"[[10, 10]]"
12a_0549,"[[-1, -1]]"
12a_0554,"[[1, 1]]"
12a_0561,['No Dihedral Linking Number Exists']
12a_0562,"[[25/9, 25/9]]"
12a_0563,"[[-1, -1], [-1, -1], [10/7, 10/7], 'No Dihedral Linking Number Exists']"
12a_0564,"[[7/5, 7/5]]"
12a_0567,"[[-3/5, -3/5]]"
12a_0569,"[[-1, -1], [-5/3, -5/3], [62/79, 62/79], [-2, -2]]"
12a_0570,"[[0, 0]]"
12a_0571,"[[3, 3]]"
12a_0574,"[[7, 6], [5/7, 5/7], 'No Dihedral Linking Number Exists', [2, 2]]"
12a_0575,"[[0, 0]]"
12a_0576,"[[-1/7, -1/7], [-2, -2], [-8, -8], [-5/4, -3/2]]"
12a_0577,"[[-59/33, -59/33]]"
12a_0578,"[[-1, -1]]"
12a_0579,['No Dihedral Linking Number Exists']
12a_0580,['No Dihedral Linking Number Exists']
12a_0588,"[[1, 1]]"
12a_0594,"[[-10/7, -10/7], [-1, -1], [4, 4], [4/3, 4/3]]"
12a_0596,"[[1/3, 1/3]]"
