Name,Dihedral Linking Numbers
10_156,"[[[-23, 18, -10], [18, -15, 4], [-10, 4, -1]], [[-23, -10, 18], [-10, -1, 4], [18, 4, -15]]]"
10_158,"[[[-40/11, -30/11, 50/11], [-30/11, 16/11, 10/11], [50/11, 10/11, -24/11]], [[-40/11, -30/11, 50/11], [-30/11, 16/11, 10/11], [50/11, 10/11, -24/11]]]"
10_161,"[[[13/11, 14/11, 18/11], [14/11, 32/11, 16/11], [18/11, 16/11, 30/11]], [[13/11, 18/11, 14/11], [18/11, 30/11, 16/11], [14/11, 16/11, 32/11]]]"
10_162,"[[[49/11, 2/11, -54/11], [2/11, 14/11, -26/11], [-54/11, -26/11, 42/11]], [[49/11, 2/11, -54/11], [2/11, 14/11, -26/11], [-54/11, -26/11, 42/11]]]"
10_164,"[[[-40/11, 6/11, 14/11], [6/11, -13/11, 10/11], [14/11, 10/11, -17/11]], [[-40/11, 6/11, 14/11], [6/11, -13/11, 10/11], [14/11, 10/11, -17/11]]]"
11a_3,"[[[-3, 0, 4], [0, 0, 2], [4, 2, -2]], [[-3, 0, 4], [0, 0, 2], [4, 2, -2]]]"
11a_5,"[[[0, 0, 0], [0, 1, 0], [0, 0, 1]], [[0, 0, 0], [0, 1, 0], [0, 0, 1]]]"
11a_6,"[[[0, -4, 4], [-4, 1, 0], [4, 0, -3]], [[0, -4, 4], [-4, 1, 0], [4, 0, -3]]]"
11a_7,"[[[-3, 0, 4], [0, 0, 2], [4, 2, -2]], [[-3, 0, 4], [0, 0, 2], [4, 2, -2]]]"
11a_9,"[[[3, -4, 0], [-4, 3, -2], [0, -2, 1]], [[3, -4, 0], [-4, 3, -2], [0, -2, 1]]]"
11a_16,"[[[9, -10, 6], [-10, 8, -2], [6, -2, 0]], [[9, -10, 6], [-10, 8, -2], [6, -2, 0]]]"
11a_19,"[[[20, -6, -6], [-6, 8, -6], [-6, -6, 8]], [[20, -6, -6], [-6, 8, -6], [-6, -6, 8]]]"
11a_21,"[[[1, 2, -6], [2, -2, -2], [-6, -2, 2]], [[1, 2, -6], [2, -2, -2], [-6, -2, 2]]]"
11a_25,"[[[20, -6, -6], [-6, 8, -6], [-6, -6, 8]], [[20, -6, -6], [-6, 8, -6], [-6, -6, 8]]]"
11a_29,"[[[0, -4, 4], [-4, 3, 0], [4, 0, -1]], [[0, -4, 4], [-4, 3, 0], [4, 0, -1]]]"
11a_31,"[[[1, 2, -6], [2, -2, -2], [-6, -2, 2]], [[1, 2, -6], [2, -2, -2], [-6, -2, 2]]]"
11a_33,"[[[9, -10, 6], [-10, 8, -2], [6, -2, 0]], [[9, -10, 6], [-10, 8, -2], [6, -2, 0]]]"
11a_41,"[[[11, -6, -2], [-6, 5, -4], [-2, -4, 3]], [[11, -6, -2], [-6, 5, -4], [-2, -4, 3]]]"
11a_43,"[[[13, -10, -2], [-10, 6, -6], [-2, -6, 2]], [[13, -10, -2], [-10, 6, -6], [-2, -6, 2]]]"
