Name,Color List
10_146,"[[2, 2, 1, 3, 2, 3, 1, 2, 2, 2]]"
10_147,"[[3, 1, 3, 3, 2, 2, 1, 2, 2, 2]]"
10_158,"[[2, 3, 1, 2, 2, 3, 2, 3, 1, 2]]"
10_159,"[[2, 3, 2, 2, 1, 3, 1, 1, 2, 2]]"
10_160,"[[1, 3, 2, 3, 1, 3, 2, 1, 2, 2]]"
10_163,"[[1, 1, 3, 3, 3, 2, 3, 3, 1, 2]]"
10_164,"[[3, 3, 2, 2, 1, 3, 3, 1, 1, 2]]"
10_165,"[[3, 3, 1, 3, 3, 1, 2, 1, 1, 2]]"
11a_6,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_8,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_16,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11a_17,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_21,"[[2, 3, 1, 1, 2, 1, 1, 3, 2, 3, 1, 2]]"
11a_37,"[[2, 3, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2]]"
11a_38,"[[2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 1, 2]]"
11a_43,"[[3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3], [2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2], [1, 3, 2, 2, 1, 3, 2, 2, 1, 3, 2, 1], [1, 2, 3, 3, 1, 1, 3, 3, 2, 1, 1, 1]]"
11a_44,"[[3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3], [2, 3, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2], [1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 2, 1], [1, 3, 2, 2, 1, 1, 3, 2, 2, 1, 1, 1]]"
11a_45,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11a_46,"[[2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2]]"
11a_47,"[[3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 2, 3], [2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2], [1, 2, 3, 3, 1, 3, 2, 3, 3, 1, 2, 1], [1, 2, 3, 3, 1, 1, 1, 3, 3, 2, 1, 1]]"
11a_49,"[[2, 3, 1, 3, 2, 1, 1, 2, 3, 1, 1, 2]]"
11a_57,"[[3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 2, 3], [2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2], [1, 2, 3, 3, 1, 3, 2, 3, 3, 1, 2, 1], [1, 2, 3, 3, 1, 1, 1, 3, 3, 2, 1, 1]]"
