Name,Dihedral Linking Numbers
12a_0463,"[[['x', 'x'], ['x', 'x']]]"
12a_0464,[]
12a_0472,"[[['x', 'x'], ['x', 'x']]]"
12a_0475,[]
12a_0482,"[[['x', 'x'], ['x', 'x']]]"
12a_0485,[]
12a_0486,[]
12a_0490,[]
12a_0491,"[[['x', 'x'], ['x', 'x']]]"
12a_0493,"[[['x', 'x'], ['x', 'x']]]"
12a_0494,"[[['x', 'x'], ['x', 'x']]]"
12a_0496,[]
12a_0498,[]
12a_0503,"[[['x', 'x'], ['x', 'x']]]"
12a_0504,"[[['x', 'x'], ['x', 'x']]]"
12a_0505,"[[['x', 'x'], ['x', 'x']]]"
12a_0508,"[[[0, 2], [2, 3]]]"
12a_0509,"[[['x', 'x'], ['x', 'x']]]"
12a_0515,"[[['x', 'x'], ['x', 'x']]]"
12a_0519,"[[['x', 'x'], ['x', 'x']]]"
12a_0523,[]
12a_0524,"[[['x', 'x'], ['x', 'x']]]"
12a_0525,"[[['x', 'x'], ['x', 'x']]]"
12a_0528,[]
12a_0529,"[[[0, -2], [-2, 0]]]"
12a_0540,"[[['x', 'x'], ['x', 'x']]]"
12a_0541,"[[['x', 'x'], ['x', 'x']]]"
12a_0542,"[[['x', 'x'], ['x', 'x']]]"
12a_0546,"[[['x', 'x'], ['x', 'x']]]"
12a_0549,"[[['x', 'x'], ['x', 'x']]]"
12a_0554,"[[['x', 'x'], ['x', 'x']]]"
12a_0561,[]
12a_0562,[]
12a_0563,"[[['x', 'x'], ['x', 'x']]]"
12a_0564,"[[['x', 'x'], ['x', 'x']]]"
12a_0567,"[[['x', 'x'], ['x', 'x']]]"
12a_0569,[]
12a_0570,[]
12a_0571,"[[['x', 'x'], ['x', 'x']]]"
12a_0574,[]
12a_0575,[]
12a_0576,[]
12a_0577,[]
12a_0578,[]
12a_0579,"[[['x', 'x'], ['x', 'x']]]"
12a_0580,[]
12a_0588,"[[['x', 'x'], ['x', 'x']]]"
12a_0594,[]
12a_0596,[]
12a_0597,[]
12a_0611,"[[['x', 'x'], ['x', 'x']]]"
12a_0615,[]
12a_0617,[]
12a_0623,"[[['x', 'x'], ['x', 'x']]]"
12a_0626,[]
12a_0628,[]
12a_0629,[]
12a_0631,"[[['x', 'x'], ['x', 'x']]]"
12a_0633,[]
12a_0634,[]
12a_0635,[]
12a_0636,[]
12a_0637,[]
12a_0643,[]
12a_0647,[]
12a_0648,[]
12a_0650,[]
12a_0654,"[[['x', 'x'], ['x', 'x']]]"
12a_0655,[]
12a_0665,[]
12a_0666,"[[['x', 'x'], ['x', 'x']]]"
12a_0668,[]
12a_0670,[]
12a_0672,[]
12a_0679,[]
12a_0683,"[[['x', 'x'], ['x', 'x']]]"
12a_0684,"[[['x', 'x'], ['x', 'x']]]"
12a_0685,[]
12a_0689,"[[['x', 'x'], ['x', 'x']]]"
12a_0692,[]
12a_0693,"[[['x', 'x'], ['x', 'x']]]"
12a_0694,[]
12a_0699,[]
12a_0701,[]
12a_0702,[]
12a_0703,"[[[4, -4], [-4, 0]]]"
12a_0705,"[[['x', 'x'], ['x', 'x']]]"
12a_0706,[]
12a_0708,[]
12a_0711,[]
12a_0712,[]
12a_0718,[]
12a_0719,[]
12a_0721,[]
12a_0723,"[[['x', 'x'], ['x', 'x']]]"
12a_0725,"[[['x', 'x'], ['x', 'x']]]"
12a_0730,"[[['x', 'x'], ['x', 'x']]]"
12a_0731,"[[['x', 'x'], ['x', 'x']]]"
12a_0735,"[[['x', 'x'], ['x', 'x']]]"
12a_0736,"[[['x', 'x'], ['x', 'x']]]"
12a_0737,[]
12a_0739,"[[['x', 'x'], ['x', 'x']]]"
12a_0741,"[[['x', 'x'], ['x', 'x']]]"
12a_0742,"[[['x', 'x'], ['x', 'x']]]"
12a_0750,"[[['x', 'x'], ['x', 'x']]]"
12a_0760,[]
12a_0762,"[[['x', 'x'], ['x', 'x']]]"
12a_0766,[]
12a_0767,"[[['x', 'x'], ['x', 'x']]]"
12a_0768,[]
12a_0769,[]
12a_0771,[]
12a_0772,"[[['x', 'x'], ['x', 'x']]]"
12a_0775,"[[['x', 'x'], ['x', 'x']]]"
12a_0777,[]
12a_0780,"[[['x', 'x'], ['x', 'x']]]"
12a_0785,[]
12a_0787,[]
12a_0791,[]
12a_0793,[]
