Name,Color List
11a_8,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_16,"[[3, 2, 1, 1, 3, 2, 1, 1, 2, 3, 1, 3]]"
11a_17,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_21,"[[2, 3, 1, 1, 2, 1, 1, 3, 2, 3, 1, 2]]"
11a_37,"[[2, 3, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2]]"
11a_38,"[[2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 1, 2]]"
11a_43,"[[2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2], [2, 2, 2, 2, 2, 1, 2, 2, 3, 1, 3, 2], [1, 3, 2, 2, 1, 1, 2, 2, 3, 1, 1, 1], [3, 1, 2, 2, 3, 1, 2, 2, 3, 1, 2, 3]]"
11a_44,"[[2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2], [2, 1, 3, 3, 2, 1, 2, 3, 3, 1, 3, 2], [1, 2, 3, 3, 1, 1, 2, 3, 3, 1, 1, 1], [3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 2, 3]]"
11a_45,"[[3, 2, 1, 1, 3, 2, 1, 1, 2, 3, 1, 3]]"
11a_46,"[[2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2]]"
11a_47,"[[2, 2, 2, 2, 2, 3, 1, 2, 2, 3, 1, 2], [3, 1, 2, 2, 3, 3, 3, 2, 2, 1, 3, 3], [2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2], [1, 2, 3, 3, 1, 3, 2, 3, 3, 1, 2, 1]]"
11a_49,"[[2, 3, 1, 3, 2, 1, 1, 2, 3, 1, 1, 2]]"
11a_57,"[[2, 2, 2, 2, 2, 3, 1, 2, 2, 3, 1, 2], [3, 1, 2, 2, 3, 3, 3, 2, 2, 1, 3, 3], [2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2], [1, 2, 3, 3, 1, 3, 2, 3, 3, 1, 2, 1]]"
11a_58,"[[2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2]]"
11a_63,"[[2, 1, 3, 1, 2, 3, 3, 2, 2, 3, 1, 2]]"
11a_69,"[[3, 1, 2, 2, 3, 2, 1, 1, 2, 3, 1, 3]]"
11a_71,"[[3, 1, 2, 1, 2, 3, 3, 3, 2, 3, 1, 3]]"
11a_72,"[[3, 2, 1, 2, 1, 3, 3, 3, 2, 3, 1, 3]]"
11a_73,"[[2, 2, 2, 2, 3, 2, 2, 1, 1, 3, 1, 2]]"
11a_78,"[[1, 3, 2, 2, 1, 1, 2, 3, 1, 1, 1, 1]]"
11a_90,"[[3, 2, 1, 1, 2, 3, 1, 2, 3, 1, 1, 3]]"
11a_91,"[[3, 2, 1, 1, 2, 3, 1, 2, 3, 1, 1, 3]]"
11a_93,"[[2, 1, 3, 3, 2, 2, 3, 2, 1, 3, 1, 2]]"
11a_99,"[[1, 3, 2, 2, 3, 1, 2, 1, 2, 3, 1, 1]]"
11a_100,"[[2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 2]]"
11a_102,"[[1, 2, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1]]"
11a_103,"[[1, 2, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1]]"
11a_106,"[[2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 1, 2]]"
11a_107,"[[2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 1, 2]]"
11a_108,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
11a_109,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
11a_117,"[[1, 3, 2, 1, 2, 1, 1, 3, 2, 3, 1, 1]]"
11a_118,"[[2, 1, 3, 1, 1, 2, 3, 2, 3, 1, 1, 2]]"
