Name,Sign List
11a_277,"[-1, -1, 1, -1, -1, 1, -1, -1, 1, 1, -1, 1]"
11a_280,"[-1, 1, 1, -1, 1, 1, -1, -1, 1, 1, -1, 1]"
11a_281,"[-1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 1]"
11a_288,"[-1, 1, -1, 1, -1, 1, -1, -1, 1, 1, -1, 1]"
11a_289,"[-1, -1, 1, -1, -1, 1, 1, -1, 1, 1, -1, 1]"
11a_297,"[-1, 1, 1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
11a_305,"[-1, -1, 1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
11a_306,"[-1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_317,"[-1, 1, 1, -1, -1, 1, 1, 1, 1, 1, -1, 1]"
11a_318,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_325,"[-1, 1, 1, -1, -1, 1, 1, 1, 1, 1, -1, 1]"
11a_329,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_331,"[-1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1]"
11a_333,"[-1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_335,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_339,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_348,"[-1, -1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
11a_349,"[-1, -1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
11a_350,"[-1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 1]"
11a_351,"[-1, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1, 1]"
11a_352,"[-1, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1, 1]"
11a_354,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_355,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_363,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_364,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11n_9,"[-1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]"
11n_10,"[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_11,"[-1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, 1]"
11n_13,"[-1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]"
11n_14,"[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_15,"[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, 1]"
11n_19,"[-1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1]"
11n_22,"[-1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1]"
11n_37,"[-1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1]"
11n_39,"[-1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1]"
11n_45,"[-1, -1, 1, -1, 1, 1, 1, -1, 1, -1, -1, 1]"
11n_50,"[-1, 1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 1]"
11n_56,"[-1, -1, 1, -1, 1, -1, 1, 1, -1, -1, 1, 1]"
11n_58,"[-1, -1, 1, -1, 1, 1, 1, -1, 1, 1, -1, 1]"
11n_66,"[-1, -1, 1, -1, -1, -1, 1, -1, -1, 1, -1, 1]"
11n_69,"[-1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
11n_76,"[-1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_78,"[-1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 1]"
11n_79,"[-1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 1, 1]"
11n_80,"[-1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1]"
11n_84,"[-1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1]"
11n_85,"[-1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
11n_92,"[-1, 1, -1, 1, 1, 1, -1, 1, -1, 1, -1, 1]"
11n_100,"[-1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
11n_103,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_112,"[-1, -1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
11n_113,"[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11n_117,"[-1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1]"
11n_121,"[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11n_127,"[-1, 1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1]"
11n_132,"[-1, 1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 1]"
11n_133,"[-1, -1, 1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
11n_135,"[-1, 1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1]"
11n_138,"[-1, 1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 1]"
11n_144,"[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1]"
11n_148,"[-1, -1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 1]"
11n_150,"[-1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1]"
11n_157,"[-1, -1, 1, 1, -1, 1, 1, -1, 1, -1, 1, 1]"
11n_158,"[-1, 1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 1]"
11n_162,"[-1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1]"
11n_164,"[-1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 1]"
11n_165,"[-1, -1, 1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
11n_168,"[-1, -1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
11n_169,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11n_171,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11n_173,"[-1, -1, -1, -1, -1, -1, 1, -1, 1, -1, 1, 1]"
11n_175,"[-1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1]"
11n_178,"[-1, -1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 1]"
11n_180,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11n_181,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11n_185,"[-1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, 1]"
12a_0011,"[-1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1]"
12a_0025,"[-1, 1, -1, -1, 1, -1, 1, -1, 1, 1, -1, 1]"
12a_0026,"[-1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1]"
12a_0028,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, -1, 1, -1]"
12a_0034,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0041,"[1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]"
12a_0053,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0055,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0058,"[1, 1, -1, 1, 1, -1, -1, -1, 1, 1, -1, -1]"
12a_0068,"[-1, 1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1]"
12a_0074,"[-1, 1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1]"
12a_0075,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0077,"[1, 1, -1, 1, 1, -1, -1, -1, 1, -1, 1, -1]"
12a_0083,"[1, 1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1]"
12a_0085,"[1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]"
12a_0087,"[1, 1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1]"
12a_0095,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1, -1, 1]"
12a_0096,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0100,"[1, 1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1]"
12a_0106,"[1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1]"
12a_0108,"[1, 1, 1, 1, 1, -1, 1, -1, -1, 1, -1, 1]"
12a_0120,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1, -1, -1]"
12a_0129,"[-1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 1, 1]"
12a_0135,"[-1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, -1]"
12a_0137,"[-1, 1, -1, -1, -1, 1, 1, -1, -1, 1, -1, 1]"
12a_0142,"[1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, -1]"
12a_0143,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0146,"[1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1]"
12a_0165,"[1, 1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
12a_0179,"[-1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1]"
12a_0181,"[-1, 1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 1]"
12a_0189,"[-1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1, -1]"
12a_0193,"[-1, 1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1]"
12a_0199,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0200,"[-1, 1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1]"
12a_0202,"[-1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 1, -1]"
12a_0206,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
12a_0208,"[-1, 1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1]"
12a_0215,"[-1, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
12a_0216,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1]"
12a_0218,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1]"
12a_0227,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
12a_0230,"[-1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1]"
12a_0232,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
12a_0235,"[1, 1, 1, 1, 1, 1, -1, -1, 1, -1, -1, -1]"
12a_0245,"[1, 1, -1, -1, 1, -1, 1, 1, -1, 1, 1, -1]"
12a_0248,"[-1, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
12a_0259,"[-1, 1, 1, 1, -1, 1, -1, -1, 1, -1, -1, 1]"
12a_0264,"[-1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, 1]"
12a_0271,"[-1, 1, -1, -1, -1, 1, -1, -1, 1, -1, 1, 1]"
12a_0273,"[1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, 1]"
12a_0280,"[1, 1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1]"
12a_0288,"[-1, 1, -1, -1, -1, -1, 1, -1, -1, 1, -1, 1]"
12a_0300,"[1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1]"
12a_0309,"[-1, 1, 1, -1, -1, 1, 1, -1, 1, 1, -1, 1]"
12a_0310,"[-1, 1, -1, 1, -1, -1, 1, -1, 1, 1, -1, 1]"
12a_0322,"[1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1]"
12a_0326,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1, -1, 1]"
12a_0327,"[1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]"
12a_0330,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
12a_0339,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
12a_0345,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0348,"[-1, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1]"
12a_0349,"[-1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1]"
12a_0358,"[1, 1, -1, 1, 1, -1, -1, 1, 1, -1, 1, -1]"
12a_0359,"[1, 1, -1, 1, 1, -1, -1, 1, -1, -1, 1, -1]"
12a_0360,"[-1, 1, 1, -1, -1, 1, -1, 1, 1, 1, -1, 1]"
12a_0372,"[1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]"
12a_0376,"[1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]"
12a_0377,"[1, 1, -1, 1, 1, -1, -1, 1, -1, -1, 1, -1]"
12a_0381,"[-1, 1, 1, 1, -1, 1, -1, 1, 1, 1, -1, 1]"
12a_0387,"[-1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 1, -1]"
12a_0388,"[-1, 1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1]"
12a_0389,"[-1, 1, -1, -1, -1, -1, 1, -1, 1, -1, 1, -1]"
12a_0397,"[1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1]"
12a_0398,"[1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1, -1]"
12a_0408,"[1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1]"
12a_0427,"[-1, 1, -1, 1, -1, 1, 1, 1, -1, -1, 1, -1]"
12a_0428,"[1, 1, -1, 1, 1, 1, 1, -1, -1, 1, -1, -1]"
12a_0431,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0434,"[1, 1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1]"
12a_0435,"[1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1]"
12a_0443,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12a_0448,"[-1, 1, 1, 1, -1, 1, -1, 1, 1, 1, -1, 1]"
12a_0456,"[-1, 1, 1, 1, -1, 1, -1, -1, 1, -1, 1, -1]"
12a_0464,"[-1, 1, -1, -1, -1, 1, 1, -1, 1, -1, -1, 1]"
12a_0471,"[-1, 1, 1, 1, -1, 1, 1, -1, -1, 1, -1, -1]"
12a_0475,"[1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1]"
12a_0478,"[-1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1]"
12a_0483,"[-1, 1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 1]"
12a_0485,"[-1, 1, 1, -1, -1, 1, 1, -1, -1, -1, 1, -1]"
12a_0488,"[-1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1, -1]"
12a_0495,"[1, 1, -1, 1, 1, 1, -1, 1, 1, -1, 1, 1]"
12a_0503,"[-1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1]"
12a_0506,"[-1, 1, 1, 1, -1, -1, 1, -1, 1, -1, -1, 1]"
12a_0507,"[1, 1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1]"
12a_0511,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
