Name,Sign List
11a_208,"[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1]"
11a_209,"[-1, -1, -1, 1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1, 1, 1]"
11a_212,"[1, -1, 1, 1, 1, 1, 1, -1, 1, -1, -1, 1, 1, 1]"
11a_214,"[1, -1, -1, -1, 1, 1, 1, -1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_216,"[1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 1, 1]"
11a_219,"[-1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, 1, 1, 1]"
11a_223,"[1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_230,"[1, -1, -1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1]"
11a_231,"[1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
11a_232,"[1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_236,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_237,"[1, 1, 1, -1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_239,"[1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, 1]"
11a_243,"[1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1]"
11a_244,"[1, 1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
11a_245,"[1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
11a_248,"[-1, -1, -1, 1, -1, -1, -1, 1, 1, -1, 1, 1]"
11a_249,"[-1, -1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1]"
11a_258,"[-1, -1, -1, 1, -1, -1, 1, 1, -1, 1, 1, 1]"
11a_260,"[1, -1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1]"
11a_261,"[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1, 1]"
11a_263,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_264,"[1, -1, 1, 1, 1, -1, -1, 1, -1, 1, 1, 1]"
11a_271,"[1, -1, 1, 1, 1, -1, -1, 1, 1, 1, -1, 1, -1, 1]"
11a_273,"[-1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
11a_274,"[-1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 1, 1]"
11a_275,"[1, -1, 1, 1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_277,"[1, -1, -1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
11a_278,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, -1, 1]"
11a_280,"[1, -1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_283,"[-1, -1, 1, -1, 1, -1, -1, -1, -1, 1, -1, -1, 1, 1]"
11a_286,"[-1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, 1]"
11a_290,"[-1, -1, 1, -1, 1, -1, 1, -1, -1, 1, -1, -1, 1, 1]"
11a_291,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_292,"[1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
11a_293,"[-1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1]"
11a_294,"[-1, -1, 1, -1, 1, 1, -1, 1, 1, -1, -1, -1, -1, 1]"
11a_296,"[-1, -1, -1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1]"
11a_300,"[-1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1]"
11a_304,"[1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, -1, 1]"
11a_305,"[-1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 1, 1]"
