Name,Color List
11a_47,"[[2, 3, 3, 3, 1, 1, 2, 3, 3, 1, 1, 2], [2, 1, 2, 3, 3, 3, 3, 3, 1, 3, 3, 2], [1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 1], [3, 1, 2, 3, 2, 2, 1, 3, 1, 2, 2, 3]]"
11a_49,"[[1, 2, 3, 1, 2, 3, 2, 1, 1, 2, 3, 1]]"
11a_57,"[[3, 1, 2, 1, 3, 1, 1, 2, 3, 2, 3, 1, 1, 3], [1, 3, 2, 1, 3, 3, 3, 3, 3, 2, 1, 3, 3, 1], [1, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1], [1, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 2, 2, 1]]"
11a_58,"[[3, 2, 3, 3, 3, 2, 1, 1, 2, 3, 3, 1]]"
11a_63,"[[3, 2, 2, 1, 3, 2, 2, 1, 3, 2, 3, 1]]"
11a_69,"[[3, 1, 2, 2, 1, 2, 2, 3, 2, 1, 3, 2, 3, 1]]"
11a_71,"[[2, 1, 1, 1, 2, 3, 2, 3, 1, 3, 1, 2]]"
11a_72,"[[2, 3, 2, 3, 1, 1, 2, 1, 3, 1, 1, 2]]"
11a_73,"[[2, 1, 1, 3, 3, 2, 3, 3, 3, 3, 1, 2]]"
11a_78,"[[1, 1, 1, 2, 3, 2, 3, 2, 1, 1, 1, 1, 3, 1]]"
11a_90,"[[2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 3, 1]]"
11a_91,"[[1, 2, 3, 1, 2, 1, 3, 1, 2, 2, 3, 1]]"
11a_93,"[[1, 2, 3, 2, 2, 1, 3, 1, 2, 2, 3, 1]]"
11a_99,"[[3, 2, 2, 3, 1, 2, 1, 2, 3, 1, 1, 3]]"
11a_100,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]]"
11a_102,"[[2, 1, 3, 3, 3, 2, 2, 3, 3, 2, 1, 3, 3, 1]]"
11a_103,"[[3, 1, 2, 1, 1, 1, 2, 2, 3, 2, 3, 1, 1, 1, 1, 3]]"
11a_106,"[[2, 3, 3, 3, 1, 1, 2, 3, 3, 3, 1, 2]]"
11a_107,"[[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 3, 1]]"
11a_108,"[[2, 3, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2]]"
11a_109,"[[1, 1, 1, 2, 3, 1, 1, 1, 2, 3, 1, 1]]"
11a_117,"[[2, 3, 1, 1, 2, 3, 1, 2, 2, 2, 3, 1]]"
11a_118,"[[2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 3, 1]]"
11a_123,"[[3, 2, 1, 2, 3, 1, 2, 1, 3, 3, 1, 2, 2, 3, 3, 1], [2, 1, 3, 2, 3, 1, 1, 3, 2, 2, 2, 3, 2, 3, 1, 3], [2, 3, 1, 1, 3, 2, 3, 1, 2, 2, 3, 2, 1, 3, 1, 1], [2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 1, 1, 3, 3, 1, 2]]"
11a_128,"[[2, 3, 2, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1, 2]]"
11a_130,"[[2, 3, 1, 1, 2, 3, 2, 1, 2, 3, 1, 1]]"
11a_132,"[[2, 2, 3, 2, 2, 2, 1, 3, 1, 1, 1, 3, 1, 1]]"
11a_134,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]]"
