Name,Gauss Notation,Overstrand List,Sign List,Color List,Dihedral Linking Number
10_40,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 1, -2, 9, -8, 5, -10, 3, -4, 10, -6, 7}","[5, 8, 7, 0, 6, 1, 4, 9, 2, 3]","[-1, 1, -1, -1, -1, -1, -1, 1, 1, -1]","[[1, 2, 3, 1, 1, 4, 5, 2, 5, 1], [2, 4, 1, 2, 2, 3, 5, 4, 5, 2]]"
10_56,"{-1, 2, -3, 4, -5, 6, -7, 8, -4, 5, -6, 9, -10, 1, -2, 10, -8, 7, -9, 3}","[7, 0, 5, 9, 2, 3, 8, 1, 4, 6]","[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1]","[[1, 2, 5, 4, 3, 2, 1, 4, 5, 1], [2, 4, 5, 3, 1, 4, 2, 3, 5, 2]]"
10_58,"{-1, 2, -3, 4, -5, 6, -7, 5, -4, 8, -9, 7, -6, 10, -2, 1, -10, 9, -8, 3}","[8, 0, 4, 6, 2, 9, 3, 1, 7, 5]","[-1, 1, 1, -1, 1, 1, -1, -1, 1, 1]","[[1, 4, 3, 2, 5, 1, 1, 3, 5, 1], [2, 3, 1, 4, 5, 2, 2, 1, 5, 2]]"
10_59,"{1, -2, 3, -1, 4, -5, 6, -7, 5, -8, 9, -10, 7, -6, 8, -3, 2, -9, 10, -4}","[8, 0, 4, 6, 7, 9, 3, 1, 5, 2]","[-1, 1, -1, 1, -1, -1, 1, -1, -1, 1]","[[4, 3, 5, 3, 4, 1, 1, 5, 1, 1], [3, 1, 5, 1, 3, 2, 2, 5, 2, 2]]"
10_60,"{-1, 2, -3, 4, -5, 6, -4, 7, -8, 9, -6, 5, -7, 10, -2, 1, -9, 8, -10, 3}","[8, 0, 6, 2, 9, 3, 4, 1, 5, 7]","[-1, 1, -1, 1, -1, -1, 1, -1, -1, 1]","[[4, 3, 5, 4, 1, 1, 2, 5, 1, 1], [3, 1, 5, 3, 2, 2, 4, 5, 2, 2]]"
10_62,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 1, -2, 5, -6, 7, -10, 3, -4, 10, -8, 9}","[5, 8, 6, 7, 0, 1, 3, 9, 2, 4]","[-1, 1, -1, -1, -1, -1, -1, 1, 1, -1]","[[4, 2, 3, 4, 5, 3, 1, 2, 5, 1], [3, 4, 1, 3, 5, 1, 2, 4, 5, 2]]"
10_66,"{1, -2, 3, -4, 5, -6, 7, -8, 4, -1, 2, -3, 9, -7, 8, -9, 10, -5, 6, -10}","[5, 4, 9, 7, 0, 1, 3, 6, 2, 8]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[4, 2, 3, 4, 5, 3, 1, 2, 5, 1], [3, 4, 1, 3, 5, 1, 2, 4, 5, 2]]"
10_81,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -5, 4, -8, 9, -7, 6, -10, 8, -9, 10}","[2, 4, 6, 1, 8, 3, 9, 5, 0, 7]","[-1, -1, -1, -1, 1, -1, 1, 1, 1, 1]","[[3, 1, 2, 3, 4, 1, 5, 2, 5, 1], [1, 2, 4, 1, 3, 2, 5, 4, 5, 2]]"
10_86,"{-1, 2, -3, 4, -5, 1, -2, 6, -4, 7, -8, 9, -10, 3, -6, 5, -7, 10, -9, 8}","[3, 7, 8, 1, 2, 0, 9, 4, 5, 6]","[-1, 1, -1, -1, 1, 1, 1, -1, 1, 1]","[[4, 2, 2, 3, 1, 3, 5, 2, 5, 1], [3, 4, 4, 1, 2, 1, 5, 4, 5, 2]]"
10_100,"{-1, 2, -3, 4, -5, 6, -7, 1, -2, 8, -6, 9, -10, 7, -8, 3, -4, 5, -9, 10}","[4, 8, 9, 7, 1, 3, 0, 5, 2, 6]","[-1, -1, -1, 1, -1, 1, -1, 1, -1, -1]","[[2, 1, 1, 1, 4, 3, 4, 5, 1, 1], [4, 2, 2, 2, 3, 1, 3, 5, 2, 2]]"
10_101,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 5, -2, 1, -6, 9, -10, 3, -4, 10, -8, 7}","[6, 8, 5, 0, 7, 1, 3, 9, 2, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[[4, 1, 1, 3, 5, 2, 5, 1, 1, 1], [3, 2, 2, 1, 5, 4, 5, 2, 2, 2]]"
10_103,"{-1, 2, -3, 4, -5, 6, -7, 1, -2, 8, -6, 9, -10, 7, -8, 5, -4, 3, -9, 10}","[4, 9, 8, 7, 1, 3, 0, 5, 2, 6]","[-1, -1, -1, 1, -1, 1, -1, 1, -1, -1]","[[2, 4, 3, 2, 3, 5, 4, 5, 5, 1], [4, 3, 1, 4, 1, 5, 3, 5, 5, 2], [5, 2, 3, 4, 1, 3, 5, 5, 1, 5], [2, 1, 1, 1, 4, 3, 4, 5, 1, 1], [4, 5, 4, 3, 2, 3, 3, 5, 1, 2], [1, 4, 2, 5, 5, 3, 2, 5, 1, 3], [3, 3, 5, 2, 3, 3, 1, 5, 1, 4], [5, 4, 1, 3, 2, 1, 5, 5, 2, 5], [2, 3, 4, 5, 5, 1, 4, 5, 2, 1], [4, 2, 2, 2, 3, 1, 3, 5, 2, 2], [1, 1, 5, 4, 1, 1, 2, 5, 2, 3], [3, 5, 3, 1, 4, 1, 1, 5, 2, 4]]"
10_106,"{1, -2, 3, -4, 5, -6, 7, -8, 2, -3, 9, -7, 10, -1, 4, -5, 6, -9, 8, -10}","[4, 7, 8, 9, 1, 3, 0, 2, 5, 6]","[-1, 1, 1, -1, -1, 1, 1, 1, -1, 1]","[[1, 4, 3, 2, 5, 3, 1, 1, 5, 1], [2, 3, 1, 4, 5, 1, 2, 2, 5, 2]]"
10_109,"{-1, 2, -3, 4, -5, 1, -6, 7, -2, 3, -8, 9, -4, 5, -10, 6, -7, 8, -9, 10}","[3, 5, 7, 8, 1, 9, 2, 0, 4, 6]","[-1, -1, -1, 1, -1, 1, -1, 1, 1, 1]","[[4, 5, 4, 2, 3, 2, 5, 3, 5, 1], [3, 5, 3, 4, 1, 4, 5, 1, 5, 2]]"
10_116,"{-1, 2, -3, 4, -5, 6, -7, 1, -8, 3, -6, 9, -10, 7, -2, 8, -4, 5, -9, 10}","[4, 5, 9, 7, 8, 3, 0, 1, 2, 6]","[-1, 1, -1, 1, -1, 1, -1, 1, -1, -1]","[[2, 5, 3, 4, 1, 4, 4, 5, 5, 1], [4, 5, 1, 3, 2, 3, 3, 5, 5, 2]]"
10_120,"{-1, 2, -3, 4, -5, 6, -7, 3, -2, 8, -6, 9, -10, 7, -8, 1, -4, 10, -9, 5}","[8, 4, 0, 7, 1, 3, 9, 5, 2, 6]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[[3, 4, 1, 5, 5, 3, 2, 5, 1, 1], [1, 3, 2, 5, 5, 1, 4, 5, 2, 2]]"
10_121,"{-1, 2, -3, 4, -5, 1, -6, 7, -4, 8, -2, 6, -9, 10, -7, 3, -8, 5, -10, 9}","[3, 8, 9, 6, 2, 1, 0, 4, 5, 7]","[-1, 1, -1, -1, -1, 1, -1, -1, 1, -1]","[[1, 2, 3, 4, 3, 3, 1, 1, 5, 1], [2, 4, 1, 3, 1, 1, 2, 2, 5, 2]]"
10_122,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -5, 10, -8, 2, -7, 6, -9, 4, -10}","[7, 9, 8, 0, 1, 2, 4, 3, 5, 6]","[1, -1, 1, 1, -1, 1, -1, 1, 1, -1]","[[3, 2, 5, 5, 1, 3, 2, 5, 5, 1], [1, 4, 5, 5, 2, 1, 4, 5, 5, 2]]"
10_129,"{1, -2, 3, -4, 5, -1, 2, -5, -6, 7, -8, 9, -10, 6, 4, -3, -9, 8, -7, 10}","[3, 7, 0, 2, 7, 9, 0, 1, 6, 5]","[1, 1, 1, 1, -1, -1, -1, 1, -1, -1]","[[2, 3, 4, 5, 3, 4, 3, 1, 5, 1], [4, 1, 3, 5, 1, 3, 1, 2, 5, 2]]"
10_132,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 6, -5, -8, 9, -10, 8, 4, -3, -9, 10}","[4, 8, 5, 0, 3, 2, 8, 0, 1, 7]","[1, 1, 1, 1, 1, 1, -1, -1, 1, -1]","[[2, 3, 2, 4, 5, 3, 1, 4, 5, 1], [4, 1, 4, 3, 5, 1, 2, 3, 5, 2]]"
10_136,"{-1, 2, -3, 1, -4, -5, 6, -7, 5, -8, -9, 10, 7, -6, 8, 3, -2, 9, -10, 4}","[2, 8, 0, 5, 7, 8, 9, 4, 1, 7]","[-1, 1, -1, -1, 1, -1, 1, 1, 1, 1]","[[1, 3, 2, 5, 3, 4, 1, 1, 5, 1], [2, 1, 4, 5, 1, 3, 2, 2, 5, 2]]"
